order_id,customer_id,product_id,order_date,quantity,order_value,order_status,discount_amount,payment_method
O0062,C017,P004,2024-04-26,3,995.58,Completed,0.0,PayPal
O0063,C018,P006,2023-10-29,1,68.96,Completed,7.66,Bank Transfer
O0064,C018,P008,2023-12-22,1,135.46,Returned,0.0,Card
O0065,C018,P005,2024-01-29,3,1614.07,Completed,84.95,Card
O0066,C018,P001,2024-02-25,1,990.85,Completed,0.0,PayPal
O0067,C019,P002,2023-07-24,2,256.03,Completed,45.18,Bank Transfer
O0068,C019,P008,2023-08-04,1,114.05,Completed,0.0,Card
O0069,C019,P004,2023-09-13,1,300.31,Completed,0.0,Card
O0070,C019,P002,2023-12-27,1,167.23,Returned,0.0,PayPal
O0071,C020,P009,2023-02-11,1,76.25,Completed,0.0,PayPal
O0072,C020,P002,2023-02-22,1,143.71,Completed,15.97,PayPal
O0073,C020,P001,2023-04-07,2,2183.27,Completed,242.59,PayPal
O0074,C020,P010,2023-11-03,1,143.24,Completed,0.0,Bank Transfer
O0075,C020,P008,2024-02-29,2,224.69,Completed,24.96,Card
O0076,C021,P006,2023-06-16,1,89.24,Completed,0.0,PayPal
O0077,C021,P012,2023-07-21,2,190.49,Completed,0.0,Card
O0078,C021,P010,2024-04-19,2,296.5,Completed,0.0,Card
O0079,C021,P004,2024-05-08,2,564.61,Completed,0.0,PayPal
O0080,C022,P012,2023-06-29,1,107.32,Completed,11.93,Card
O0081,C022,P006,2023-08-29,1,95.5,Completed,5.03,Bank Transfer
O0082,C022,P010,2023-09-01,1,182.59,Completed,0.0,Card
O0083,C022,P003,2023-10-25,1,442.77,Completed,0.0,PayPal
O0084,C022,P004,2024-06-16,1,291.93,Cancelled,0.0,Card
O0085,C022,P010,2024-09-13,1,151.24,Completed,0.0,Bank Transfer
O0086,C023,P004,2023-02-10,1,257.21,Completed,28.58,Card
O0087,C023,P002,2023-04-13,3,515.61,Completed,0.0,Bank Transfer
O0088,C023,P002,2023-11-30,1,158.61,Completed,0.0,PayPal
O0089,C024,P001,2024-01-13,1,1094.62,Completed,0.0,Card
O0090,C024,P010,2024-02-14,1,143.32,Cancelled,0.0,PayPal
O0091,C024,P009,2024-08-18,1,73.94,Cancelled,0.0,Card
O0092,C025,P004,2023-03-28,1,258.12,Completed,45.55,Bank Transfer
O0093,C025,P001,2023-09-29,1,1143.88,Completed,0.0,Card
O0094,C026,P005,2023-03-21,1,650.24,Completed,34.22,Bank Transfer
O0095,C026,P012,2023-08-26,2,226.41,Completed,25.16,Card
O0096,C026,P008,2023-09-15,1,143.53,Completed,0.0,PayPal
O0097,C026,P011,2023-10-02,1,176.49,Returned,31.14,PayPal
O0098,C026,P005,2023-11-01,1,762.63,Completed,0.0,Card
O0099,C026,P004,2024-03-18,3,1282.56,Completed,0.0,Bank Transfer
O0100,C026,P009,2024-07-29,1,75.24,Completed,0.0,PayPal
O0101,C026,P008,2024-09-27,1,126.43,Completed,22.31,Card
O0102,C026,P012,2024-10-15,1,115.53,Completed,0.0,Card
O0103,C027,P006,2023-06-14,2,198.45,Returned,0.0,PayPal
O0104,C027,P011,2023-09-22,1,169.52,Completed,18.84,Bank Transfer
O0105,C027,P010,2024-01-16,1,166.81,Cancelled,0.0,Bank Transfer
O0106,C027,P010,2024-01-22,1,158.76,Completed,0.0,PayPal
O0107,C027,P011,2024-08-09,1,146.13,Completed,16.24,PayPal
O0108,C028,P003,2023-05-09,1,535.13,Completed,0.0,PayPal
O0109,C028,P010,2023-06-13,1,214.53,Completed,0.0,Card
O0110,C028,P002,2023-09-05,1,228.45,Completed,0.0,Card
O0111,C028,P006,2024-06-27,1,108.88,Completed,0.0,Bank Transfer
O0112,C028,P012,2024-10-31,1,100.39,Cancelled,11.16,PayPal
O0113,C028,P004,2024-11-16,1,375.36,Completed,0.0,Bank Transfer
O0114,C029,P009,2023-01-21,1,87.61,Completed,0.0,Bank Transfer
O0115,C029,P004,2023-03-09,1,363.94,Completed,0.0,Bank Transfer
O0116,C029,P010,2023-03-16,1,170.78,Completed,0.0,Card
O0117,C029,P011,2023-05-15,2,417.19,Completed,0.0,Bank Transfer
O0118,C029,P007,2023-07-17,1,528.06,Returned,58.67,Card
O0119,C029,P006,2023-08-16,1,104.08,Completed,5.48,Bank Transfer
O0120,C029,P010,2024-12-06,1,194.89,Cancelled,0.0,Bank Transfer
O0121,C030,P003,2023-04-19,1,363.18,Cancelled,0.0,PayPal
O0122,C030,P011,2024-11-02,1,149.83,Completed,0.0,Bank Transfer
O0123,C031,P011,2023-09-18,1,195.19,Completed,0.0,PayPal
O0124,C031,P009,2023-10-16,1,69.99,Returned,0.0,Card
O0125,C031,P011,2024-05-07,1,203.31,Completed,0.0,PayPal
O0126,C031,P001,2024-08-20,1,1148.48,Completed,0.0,PayPal
O0127,C031,P004,2024-11-23,1,361.49,Completed,0.0,Bank Transfer
O0128,C031,P004,2024-12-19,3,879.32,Completed,0.0,Bank Transfer
O0129,C032,P006,2023-02-25,1,101.46,Completed,0.0,Bank Transfer
O0130,C032,P005,2023-06-13,1,646.79,Completed,0.0,Bank Transfer
O0131,C032,P007,2023-09-10,1,516.44,Completed,0.0,Bank Transfer
O0132,C032,P011,2024-05-25,1,207.05,Cancelled,0.0,PayPal
O0133,C032,P012,2024-11-15,1,112.69,Returned,0.0,Card
O0134,C033,P004,2023-03-06,1,330.21,Completed,17.38,Card
O0135,C033,P008,2023-04-08,1,132.08,Returned,14.68,PayPal
O0136,C033,P010,2023-05-16,3,555.27,Completed,29.23,Card
O0137,C033,P011,2023-06-17,2,492.7,Completed,0.0,Card
O0138,C033,P008,2023-07-14,1,151.32,Completed,0.0,Card
O0139,C033,P004,2023-09-19,1,354.9,Completed,62.63,Card
O0140,C033,P004,2023-12-10,1,396.31,Completed,0.0,Card
O0141,C033,P004,2024-10-24,1,354.92,Returned,0.0,Bank Transfer
O0142,C034,P012,2023-02-10,1,105.44,Completed,0.0,PayPal
O0143,C034,P008,2023-05-24,2,235.72,Completed,0.0,Card
O0144,C034,P001,2023-12-10,2,1968.4,Completed,0.0,Bank Transfer
O0145,C034,P012,2024-01-31,1,104.17,Returned,0.0,Bank Transfer
O0146,C035,P003,2023-06-27,1,394.68,Completed,0.0,Bank Transfer
O0147,C035,P010,2024-01-08,1,123.91,Completed,13.77,Card
O0148,C036,P011,2023-03-21,2,373.65,Completed,0.0,PayPal
O0149,C036,P011,2023-09-26,1,199.13,Completed,0.0,Bank Transfer
O0150,C036,P010,2024-02-25,1,159.7,Completed,0.0,Bank Transfer
O0151,C036,P011,2024-05-28,2,348.38,Cancelled,18.34,Card
O0152,C037,P008,2023-02-06,2,237.89,Returned,0.0,PayPal
O0153,C037,P005,2023-02-17,1,618.55,Completed,0.0,Bank Transfer
O0154,C037,P009,2023-06-11,1,71.0,Completed,0.0,PayPal
O0155,C037,P011,2023-08-21,1,170.26,Returned,0.0,PayPal
O0156,C038,P004,2023-05-05,1,263.19,Completed,0.0,PayPal
O0157,C038,P003,2023-05-24,1,334.09,Cancelled,17.58,Bank Transfer
O0158,C038,P012,2023-10-08,1,88.54,Cancelled,0.0,Bank Transfer
O0159,C039,P009,2023-08-17,1,65.34,Completed,11.53,Bank Transfer
O0160,C039,P011,2023-09-26,1,189.76,Completed,21.09,Card
O0161,C039,P007,2023-10-29,3,2081.73,Completed,0.0,PayPal
O0162,C039,P009,2024-04-17,1,87.79,Completed,9.75,PayPal
O0163,C039,P005,2024-11-17,1,823.78,Completed,43.36,Card
O0164,C040,P006,2023-01-21,1,94.42,Completed,0.0,Bank Transfer
O0165,C040,P011,2024-03-13,2,312.88,Cancelled,34.77,Card
O0166,C041,P009,2023-05-06,2,198.15,Completed,0.0,Card
O0167,C041,P002,2023-05-29,1,239.62,Cancelled,0.0,Bank Transfer
O0168,C041,P009,2023-06-01,1,93.21,Completed,0.0,Card
O0169,C041,P012,2023-07-02,3,339.93,Completed,59.99,Bank Transfer
O0170,C041,P011,2024-07-19,1,212.33,Completed,11.18,Card
O0171,C042,P008,2023-01-20,2,367.74,Completed,0.0,Card
O0172,C042,P002,2023-05-23,2,461.12,Completed,0.0,Card
O0173,C042,P004,2023-07-02,1,360.79,Returned,40.09,PayPal
O0174,C042,P001,2023-11-18,2,3034.51,Completed,0.0,PayPal
O0175,C042,P008,2024-02-17,1,154.6,Completed,27.28,PayPal
O0176,C042,P006,2024-05-26,1,86.12,Cancelled,15.2,Bank Transfer
O0177,C042,P009,2024-09-16,3,216.77,Cancelled,24.08,Bank Transfer
O0178,C043,P001,2023-02-22,1,1022.54,Completed,0.0,PayPal
O0179,C043,P011,2023-04-06,1,188.9,Completed,0.0,PayPal
O0180,C043,P010,2023-10-27,1,142.96,Completed,0.0,PayPal
O0181,C043,P003,2023-12-13,3,1203.63,Completed,0.0,Bank Transfer
O0182,C044,P004,2024-01-07,2,454.88,Completed,0.0,PayPal
O0183,C045,P011,2024-09-13,3,369.45,Completed,41.05,PayPal
O0184,C046,P009,2023-06-22,1,68.91,Completed,7.66,PayPal
O0185,C046,P001,2023-11-12,1,1149.7,Completed,0.0,PayPal
O0186,C046,P002,2024-07-02,1,154.56,Completed,0.0,Bank Transfer
O0187,C047,P005,2023-01-23,1,563.66,Completed,0.0,Card
O0188,C047,P009,2023-03-07,1,71.89,Completed,0.0,PayPal
O0189,C047,P004,2023-08-24,1,315.01,Completed,0.0,Card
O0190,C047,P006,2023-09-23,1,85.13,Returned,4.48,PayPal
O0191,C048,P002,2023-02-17,1,190.36,Completed,0.0,PayPal
O0192,C048,P004,2023-11-28,1,314.79,Returned,0.0,Card
O0193,C048,P008,2024-01-08,1,144.91,Completed,0.0,Card
O0194,C048,P006,2024-01-15,1,103.64,Returned,0.0,PayPal
O0195,C048,P012,2024-07-17,1,112.58,Completed,0.0,Bank Transfer
O0196,C048,P011,2024-09-04,1,170.1,Completed,18.9,Card
O0197,C049,P002,2023-05-01,1,122.21,Returned,21.57,PayPal
O0198,C049,P012,2023-10-21,1,94.48,Completed,0.0,Card
O0199,C050,P012,2023-02-25,1,117.83,Completed,6.2,Card
O0200,C050,P003,2023-04-24,1,450.37,Completed,0.0,Card
O0201,C050,P002,2024-03-18,1,163.63,Completed,0.0,PayPal
O0202,C050,P007,2024-03-26,1,502.98,Cancelled,26.47,Bank Transfer
O0203,C050,P002,2024-10-31,2,322.15,Completed,56.85,Card
O0204,C050,P001,2024-11-13,1,1264.32,Returned,0.0,Bank Transfer
O0205,C050,P008,2024-12-24,2,266.67,Completed,14.03,Bank Transfer
O0206,C051,P005,2023-01-19,1,741.18,Completed,0.0,PayPal
O0207,C051,P005,2023-03-26,3,2040.55,Completed,0.0,Card
O0208,C051,P010,2023-07-13,2,323.35,Completed,35.93,Card
O0209,C051,P006,2023-08-03,1,97.05,Cancelled,0.0,PayPal
O0210,C051,P012,2024-02-03,1,129.98,Completed,0.0,Bank Transfer
O0211,C051,P008,2024-06-13,2,371.12,Completed,0.0,Card
O0212,C052,P009,2023-10-17,1,71.73,Returned,0.0,PayPal
O0213,C052,P002,2023-11-12,1,172.7,Completed,0.0,Bank Transfer
O0214,C052,P009,2024-01-16,1,84.95,Cancelled,0.0,PayPal
O0215,C052,P012,2024-01-20,1,119.82,Completed,0.0,Card
O0216,C052,P001,2024-02-21,1,1172.32,Completed,0.0,PayPal
O0217,C052,P003,2024-04-06,2,844.89,Returned,44.47,Card
O0218,C052,P010,2024-06-19,1,182.78,Completed,0.0,Bank Transfer
O0219,C053,P007,2023-03-29,1,696.28,Completed,0.0,Card
O0220,C053,P002,2023-05-24,1,209.23,Cancelled,0.0,Card
O0221,C053,P003,2023-08-06,1,556.78,Cancelled,0.0,PayPal
O0222,C053,P007,2023-09-23,1,550.21,Completed,0.0,Card
O0223,C053,P003,2023-10-27,1,499.78,Completed,55.53,Bank Transfer
O0224,C053,P006,2023-11-13,1,110.49,Completed,0.0,PayPal
O0225,C053,P005,2024-01-24,1,762.02,Completed,40.11,PayPal
O0226,C053,P007,2024-05-20,1,566.39,Completed,0.0,Card
O0227,C053,P007,2024-07-03,1,588.16,Completed,0.0,Bank Transfer
O0228,C054,P001,2023-09-05,2,2501.73,Completed,0.0,PayPal
O0229,C054,P001,2023-09-18,1,1027.31,Completed,0.0,Card
O0230,C054,P012,2024-01-11,1,95.59,Completed,0.0,Bank Transfer
O0231,C054,P009,2024-06-27,1,72.78,Completed,0.0,Card
O0232,C055,P010,2023-08-16,1,143.85,Completed,7.57,Bank Transfer
O0233,C055,P006,2024-02-08,2,216.88,Completed,0.0,Bank Transfer
O0234,C055,P010,2024-08-29,2,354.32,Completed,0.0,Card
O0235,C055,P001,2024-11-30,2,2543.82,Completed,0.0,Bank Transfer
O0236,C056,P011,2023-02-05,1,171.86,Completed,0.0,PayPal
O0237,C056,P009,2023-10-01,1,69.87,Completed,0.0,Card
O0238,C056,P008,2023-12-02,1,152.08,Completed,0.0,Card
O0239,C056,P007,2024-05-03,1,539.09,Completed,0.0,Bank Transfer
O0240,C056,P010,2024-06-28,2,325.97,Cancelled,0.0,PayPal
O0241,C056,P006,2024-09-05,2,184.97,Completed,0.0,Bank Transfer
O0242,C056,P006,2024-12-07,1,106.12,Cancelled,0.0,Card
O0243,C057,P012,2023-01-31,3,342.05,Cancelled,0.0,Card
O0244,C057,P010,2024-08-31,2,317.39,Completed,0.0,PayPal
O0245,C057,P006,2024-09-29,2,165.42,Cancelled,0.0,Card
O0246,C058,P002,2023-01-05,1,168.95,Returned,18.77,Card
O0247,C058,P001,2023-09-23,2,2332.78,Completed,0.0,Bank Transfer
O0248,C058,P005,2024-01-02,1,512.98,Completed,57.0,Card
O0249,C058,P012,2024-05-01,1,79.8,Completed,14.08,PayPal
O0250,C059,P010,2023-04-24,1,116.26,Returned,6.12,PayPal
O0251,C059,P010,2024-04-02,2,250.22,Completed,0.0,Bank Transfer
O0252,C059,P003,2024-08-20,1,285.77,Returned,50.43,PayPal
O0253,C060,P002,2023-11-22,1,151.16,Completed,0.0,Card
